Id,SalePrice
1461,144000.0
1462,164500.0
1463,152000.0
1464,220000.0
1465,192000.0
1466,132000.0
1467,153900.0
1468,119500.0
1469,123000.0
1470,106500.0
1471,180000.0
1472,100500.0
1473,88000.0
1474,173000.0
1475,160000.0
1476,239686.0
1477,315500.0
1478,136905.0
1479,315000.0
1480,555000.0
1481,205000.0
1482,202500.0
1483,176000.0
1484,134000.0
1485,174000.0
1486,168500.0
1487,294000.0
1488,287090.0
1489,208300.0
1490,204000.0
1491,154000.0
1492,128500.0
1493,282922.0
1494,342643.0
1495,348000.0
1496,222000.0
1497,115000.0
1498,151000.0
1499,85000.0
1500,85000.0
1501,174000.0
1502,85000.0
1503,139900.0
1504,239000.0
1505,156500.0
1506,216837.0
1507,234000.0
1508,104900.0
1509,220000.0
1510,175500.0
1511,186000.0
1512,244600.0
1513,205000.0
1514,451950.0
1515,395192.0
1516,97500.0
1517,160000.0
1518,220000.0
1519,213000.0
1520,143000.0
1521,146000.0
1522,167000.0
1523,124500.0
1524,239000.0
1525,149000.0
1526,156000.0
1527,139000.0
1528,119000.0
1529,132500.0
1530,165000.0
1531,151400.0
1532,135875.0
1533,254000.0
1534,125500.0
1535,175000.0
1536,154000.0
1537,100000.0
1538,220000.0
1539,287000.0
1540,165000.0
1541,197900.0
1542,102000.0
1543,177000.0
1544,148800.0
1545,66500.0
1546,128000.0
1547,145000.0
1548,128000.0
1549,116900.0
1550,149000.0
1551,141500.0
1552,224900.0
1553,269500.0
1554,135000.0
1555,260000.0
1556,212000.0
1557,186000.0
1558,66500.0
1559,145000.0
1560,102000.0
1561,190000.0
1562,100000.0
1563,129500.0
1564,250580.0
1565,167500.0
1566,157500.0
1567,113000.0
1568,311500.0
1569,233230.0
1570,250000.0
1571,184000.0
1572,190000.0
1573,294000.0
1574,180000.0
1575,260000.0
1576,231500.0
1577,194000.0
1578,152000.0
1579,137000.0
1580,204000.0
1581,156000.0
1582,105000.0
1583,305900.0
1584,250000.0
1585,142000.0
1586,105900.0
1587,134500.0
1588,137500.0
1589,118500.0
1590,129000.0
1591,108500.0
1592,220000.0
1593,129500.0
1594,160000.0
1595,239900.0
1596,170000.0
1597,240000.0
1598,190000.0
1599,144000.0
1600,207500.0
1601,34900.0
1602,95000.0
1603,100000.0
1604,275000.0
1605,165150.0
1606,171500.0
1607,380000.0
1608,164900.0
1609,140000.0
1610,167500.0
1611,104900.0
1612,181900.0
1613,145250.0
1614,135875.0
1615,124000.0
1616,124000.0
1617,124000.0
1618,105000.0
1619,84000.0
1620,177000.0
1621,120000.0
1622,212000.0
1623,127500.0
1624,197900.0
1625,111250.0
1626,181900.0
1627,139500.0
1628,135000.0
1629,119000.0
1630,278000.0
1631,156500.0
1632,319900.0
1633,215200.0
1634,175000.0
1635,153575.0
1636,207500.0
1637,188700.0
1638,225000.0
1639,249700.0
1640,262000.0
1641,255500.0
1642,200000.0
1643,189000.0
1644,239000.0
1645,232000.0
1646,145000.0
1647,145000.0
1648,153900.0
1649,136500.0
1650,120500.0
1651,120500.0
1652,100500.0
1653,100500.0
1654,155000.0
1655,144000.0
1656,147000.0
1657,155000.0
1658,147000.0
1659,177250.0
1660,160000.0
1661,451950.0
1662,265979.0
1663,369900.0
1664,466500.0
1665,260000.0
1666,228000.0
1667,295000.0
